,Package,Description,Tests
98,glucose fasting ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
A Glucose Fasting test determines the quantity of glucose, or sugar, in your bloodstream. Your body turns the carbohydrates you consume into glucose, which you can use for energy. Blood glucose levels that are very high or low may indicate a significant medical problem, such as diabetes.  
Doctors frequently request a blood glucose test to help identify diabetes. Gestational diabetes, type 1 diabetes, and type 2 diabetes are the main conditions that are diagnosed or treated by glucose testing. Chronically high blood sugar levels can cause heart disease, renal damage, blindness, and other catastrophic diseases if left untreated. Therefore, it is important to maintain normal fasting blood sugar levels.
Read More","Test(s) Included (1)
GLUCOSE, FASTING
1 Test Included"
99,glucose post prandial pp 2 hours post meal ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
A Glucose Postprandial (PP), 2 hours (Post meal) test is also known as two hour PPG or two-hour post prandial blood sugar test. The term postprandial means after a meal. This test helps to detect diabetes. It measures the levels of glucose (sugar) after 2 hours a meal is taken. The glucose postprandial test is done: • To detect the presence of diabetes • To detect any other insulin-related disorder • To screen for gestational diabetes (diabetes at the time of pregnancy)
Read More","Test(s) Included (1)
GLUCOSE, POST PRANDIAL (PP), 2 HOURS (POST MEAL)
1 Test Included"
100,glucose random ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Glucose, Random
Test Overview
Sample Type Blood
Reports Delivery 6Hrs
Price/Cost ₹90
Number of Tests Included 1
What is a Random Glucose Test?
Blood sugar, or glucose, serves as the main energy source for our body's cells. An imbalance in glucose levels, whether too high or too low, can result in numerous health issues.
The top Glucose, Random Test are available in Hyderabad, Bangalore, Gurgaon, Noida, Chennai.














Read More","Test(s) Included (1)
GLUCOSE, RANDOM
1 Test Included"
101,insulin fasting ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Insulin (Fasting)
Test Overview
Sample Type     Blood
Reports Delivery Same day
Price/Cost     ₹1100
Number of Tests Included    1
What is an Insulin (Fasting) Test?
The fasting insulin test is a medical procedure designed to gauge the concentration of insulin in your blood after you've refrained from eating for 10-12 hours. This hormone plays a crucial role in facilitating glucose uptake by cells from the bloodstream for energy production and conservation.

Read More","Test(s) Included (1)
INSULIN (FASTING)
1 Test Included"
102,glucose fasting urine ,"About
Sample
URINE
Gender
Both
Age group
7 years & above
The Urine glucose (fasting) test measures the amount of glucose (sugar) in the urine. The Urine glucose (fasting) test is done: • In case of diabetes
Read More","Test(s) Included (1)
Urine Glucose(Fasting)
1 Test Included"
103,glucose random urine ,"About
Sample
URINE
Gender
Both
Age group
7 years & above
This test checks for abnormally high levels of glucose in the urine. High levels of glucose in the body can be a sign of an underlying health condition. You can develop serious complications if your glucose levels remain high and if it is left untreated. For this test, you need to provide your urine sample. A small cardboard device known as a dipstick will determine your glucose levels. Depending on the amount of glucose in your urine, the dipstick will change colour. Most commonly, elevated glucose levels indicate diabetes. It’s crucial to monitor glucose levels if you are diagnosed with diabetes or have pre-diabetic symptoms such as excessive thirst, blurred vision, and fatigue.
Read More","Test(s) Included (1)
Urine Glucose (Random)
1 Test Included"
104,glucose post prandial urine ,"About
Sample
URINE
Gender
Both
Age group
7 years & above
This test measures glucose levels in the urine to screen for prediabetes and diabetes types 1 and 2. The test is performed after 2 hours from the start of the last food intake. ‘Postprandial’ means after having a meal. High levels of glucose in the body can be a sign of an underlying health condition. You can develop serious complications if your glucose levels remain high and if it is left untreated. Most commonly, elevated glucose levels indicate diabetes. It’s crucial to monitor glucose levels if you are diagnosed with diabetes or have prediabetes symptoms such as excessive thirst, blurred vision, and fatigue.
Read More","Test(s) Included (1)
Urine Glucose(Post Prandial)
1 Test Included"
105,glucose fasting and pp ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Glucose Fasting & PP Panel is a comprehensive test that measures the levels of glucose in the blood both before and after a meal. The test helps in diagnosing and monitoring various conditions related to glucose metabolism. At Apollo 24|7, we offer this test to provide accurate and timely results for individuals of all age groups. The Glucose Fasting & PP Panel is primarily used for the diagnosis and management of diabetes mellitus. Diabetes is a chronic condition characterised by elevated blood glucose levels due to either insufficient insulin production or impaired insulin action. This test helps in assessing fasting glucose levels and postprandial glucose levels, which are crucial in determining the overall glucose control in individuals. Some of the common symptoms that may indicate the need for a Glucose Fasting & PP Test, include: Frequent urination Excessive thirst Unexplained weight loss Fatigue Blurred vision Slow healing of wounds Tingling or numbness in the hands or feet To perform the Glucose Fasting & PP Panel, a sample of blood is collected from the patient using a sodium fluoride plasma tube. The patient needs to be fasting for a minimum of 8 hours prior to the test to ensure accurate results. The sodium fluoride additive helps preserve the glucose levels in the sample without any changes during transportation to the laboratory. The patient arrives at the designated collection centre after fasting for a minimum of 10-12 hours. A healthcare professional collects a sample of blood using a sodium fluoride plasma tube. The sample is then transported to the laboratory for analysis. In the laboratory, the glucose levels in both fasting and postprandial samples are measured using advanced diagnostic techniques. The test results are generated and made available within a short turnaround time. If an individual receives a positive diagnosis for diabetes based on the Glucose Fasting & PP Panel, various treatment options are available. These may include lifestyle modifications such as a healthy diet, regular exercise, and weight management. Additionally, medication, insulin therapy, and regular monitoring of blood glucose levels may also be recommended by healthcare professionals to manage the condition effectively. If you're looking for a convenient and reliable way to get a Glucose Fasting & PP Panel done, booking an appointment at Apollo 24|7 is a great choice. Here are the benefits of getting an early test done at Apollo 24|7: 1. Accurate Assessment: The Glucose Fasting & PP Panel provides precise measurements of fasting and postprandial glucose levels, enabling accurate diagnosis and monitoring of diabetes. 2. Timely Intervention: Early detection allows for timely intervention, enabling individuals to make necessary lifestyle changes or start appropriate medication to control their blood glucose levels. 3. Prevent Complications: Early diagnosis and effective management of diabetes can help prevent complications such as cardiovascular diseases, kidney damage, nerve damage, and vision problems.
Read More","Test(s) Included (2)
GLUCOSE, FASTING
1 Test Included
GLUCOSE, POST PRANDIAL (PP), 2 HOURS (POST MEAL)
1 Test Included"
106,apollo diabetes panel basic ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Curated by Dr Sridevi, the Apollo Diabetes Panel - Basic comprises tests like CBC, fasting, LFT, and electrolytes serum that can not only monitor diabetes and its related effects but also accurately pinpoint whether an individual is at risk of developing other serious illnesses owing to diabetes. This test should be taken by people who are prediabetic, diabetic, or has a family history of diabetes.
Diabetes is a chronic health condition in which your body fails to generate sufficient insulin. Due to this malfunction, there is a build-up of excess blood sugar or glucose in your body. Over time, this health disorder can lead to vision loss, kidney failure, or heart disease.

Read More","Test(s) Included (53)
Diabetes (2)
Kidney (17)
Blood Studies (Anemia) (29)
Others (5)"
107,heart panel sugar and heart ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Heart Panel (Sugar and Heart) is a comprehensive sugar test panel designed to assess your risk of diabetes and heart disease by measuring various markers related to blood sugar levels and lipid profile. This panel includes three important tests - glucose random, HbA1c (glycated haemoglobin), and lipid profile. These tests provide valuable insights into your diabetes status and overall cardiovascular health. The Heart Panel (Sugar and Heart) is a sugar package that helps in the early detection, prevention, and management of heart-related conditions. Some of the common symptoms that may indicate the need for a comprehensive panel of tests, such as the Heart Panel (Sugar and Heart), include the following: Frequent urination Increased thirst Fatigue or tiredness Unexplained weight loss or gain Blurred vision Numbness or tingling in hands or feet Slow-healing wounds Chest pain or discomfort Shortness of breath The Heart Panel (Sugar and Heart) requires a blood sample for analysis. A qualified healthcare professional will collect a small amount of blood from a vein in your arm using a vacutainer. This quick and simple procedure typically takes only a few minutes to complete. The procedure is relatively painless when performed by experts at Apollo 24|7. The collected blood sample is then sent to a laboratory for analysis. The Heart Panel (Sugar and Heart) includes several tests such as: 1. Glucose Random: The sugar test measures the blood sugar level at any time of the day, regardless of when you last ate. It helps evaluate how well your body is managing glucose levels. 2. HbA1c (Glycated Haemoglobin): The sugar package provides an average measure of your blood sugar control over the past 2-3 months. It is used to assess long-term blood sugar levels and monitor the effectiveness of diabetes management. 3. Lipid Profile: The heart test measures various types of lipids (cholesterol and triglycerides) in your blood. It helps assess your risk for developing cardiovascular diseases such as heart attack or stroke. The sugar test and heart test have their specific procedures, which are performed by trained medical professionals in the Apollo 24|7 laboratories. In case of a positive result indicating abnormal blood sugar levels or lipid profile, it is important to consult with a healthcare professional who may recommend further diagnostic tests or provide appropriate guidance and treatment options. Treatment may include lifestyle modifications such as dietary changes, regular exercise, and medications if necessary. Early detection and management of these conditions can significantly reduce the risk of cardiovascular complications. The benefits of early testing and diagnosis include: 1. Accurate Assessment: Heart Panel (Sugar and Heart) provides accurate and reliable results, allowing healthcare professionals to make informed decisions regarding treatment and management plans. 2. Early Intervention: Detecting abnormalities in blood sugar levels and lipids profiles early on allows for timely intervention, preventing the progression of heart-related conditions and diseases. 3. Prevention: By identifying potential risk factors, you can take the necessary steps to modify your lifestyle, reducing the risk of heart disease development.
Read More","Test(s) Included (12)
GLUCOSE, RANDOM
1 Test Included
HbA1c, Glycated Hemoglobin
3 Tests Included
LIPID PROFILE
8 Tests Included"
108,apollo diabetes panel essential ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Curated by Dr Sravya, the Apollo Diabetes Panel - Essential comprises tests like fasting, PP, HbA1c, complete urine examination, CBC, LFT and creatinine serum to monitor if diabetes is putting you at risk of vision loss, kidney failure, or heart disease. This test should be taken by people of all age group who are either prediabetic, diabetic or has a family history of diabetes.
Diabetes is one of the most common chronic health problems and affects the production or use of insulin. This directly leads to irregular glucose (blood sugar) levels in the body. As such, a Diabetes Test can not only monitor the condition and its related effects but also accurately pinpoint whether an individual is at risk of developing it.

Read More","Test(s) Included (77)
Diabetes (2)
Blood Studies (Anemia) (29)
Kidney (3)
Heart (Cardiac) (8)
Liver (10)
Others (25)"
109,apollo diabetes panel advance male ,"About
Sample
BLOOD, URINE
Gender
Male
Age group
7 years & above
Curated by Dr Anusha, the Apollo Diabetes Panel - Advance comprises tests like fasting, PP, HbA1c, complete urine examination, CBC, LFT, cholesterol, vitamin B12, vitamin D, calcium and creatinine serum to monitor if diabetes is putting you at risk of liver or kidney failure, heart diseases, vitamin deficiencies and any other serious illnesses. This test should be taken by people of all age group who are either prediabetic, diabetic or has a family history of diabetes.
There are various tests for diagnosing diabetes nowadays. These medical evaluations include the assessment of your blood sugar levels and help diagnose the presence of diabetes. A diabetes test panel covers an in-depth analysis of various health facets.

Read More","Test(s) Included (81)
Diabetes (2)
Vitamin (2)
Kidney (20)
Blood Studies (Anemia) (29)
Heart (Cardiac) (8)
Liver (10)
Others (10)"
110,apollo diabetes panel advance female ,"About
Sample
BLOOD, URINE
Gender
Female
Age group
7 years & above
Curated by Dr Anusha, the Apollo Diabetes Panel - Advance comprises tests like fasting, PP, HbA1c, complete urine examination, CBC, LFT, cholesterol, vitamin B12, vitamin D, calcium and creatinine serum to monitor if diabetes is putting you at risk of liver or kidney failure, heart diseases, vitamin deficiencies and any other serious illnesses. This test should be taken by people of all age group who are either prediabetic, diabetic or has a family history of diabetes.
Diabetes is one of the most common diseases that affect people all over the world. It is characterised by too high blood glucose levels. The condition is linked to multiple health complications. It is worth mentioning that the risk of certain diabetes complications, such as heart disease and kidney disease, is higher in women than men. The Apollo Diabetes Panel - Advance Female is a comprehensive set of 78 tests across eight screening categories. All eight categories look at different organs and bodily functions to offer an accurate diagnosis of diabetes.

Read More","Test(s) Included (81)
Diabetes (2)
Vitamin (1)
Blood Studies (Anemia) (29)
Kidney (3)
Heart (Cardiac) (8)
Liver (10)
Others (28)"
111,thyroid profile total t3 t4 tsh ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Thyroid Profile
Test Overview
Sample Type     Blood
Reports Delivery     10 Hrs
Price/Cost     ₹620
Number of Tests Included    4
With the rising incidence of chronic and acute health conditions, the significance of prioritising health cannot be overstated. Being proactive about our health checks, such as getting a regular thyroid profile test, is not just about disease prevention, but also about embracing a healthier lifestyle.
The top Thyroid Profile tests are available in Anna Nagar, Alwarpet, T. Nagar
Read More","Test(s) Included (4)
Thyroid Profile (Total T3, Total T4, TSH)
4 Tests Included"
112,thyroid stimulating hormone tsh serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Thyroid Stimulating Hormone (TSH) is the primary hormone of your pituitary gland that regulates the function of your thyroid gland. Physicians depend on the serum TSH test because it keeps the production of all the other hormones in check. Also, the TSH hormone acts as the signalling molecule that guides your thyroid gland to release other thyroid hormones in the blood. Hence, the serum TSH test is an essential parameter for understanding the functioning of the thyroid gland.

Read More","Test(s) Included (1)
Thyroid Stimulating Hormone (TSH), Serum
1 Test Included"
113,vitamin b12 ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Vitamin B12 Test
Test Overview
Sample Type Blood
Reports Delivery 6 Hrs
Price/Cost ₹1350
Number of Tests Included   1
What is a Vitamin B12 Test?
A vitamin B12 test is a simple blood examination that measures the amount of vitamin B12 present in your body. Vitamin B12, also known as cobalamin, plays an essential role in your overall health. It contributes to the healthy functioning of the brain, nerves, and blood cells. Hence, knowing your vitamin B12 level can offer valuable insights into your overall health condition.



Read More","Test(s) Included (1)
VITAMIN B12
1 Test Included"
114,ferritin ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Ferritin test is also known by the name serum ferritin test. It helps to determine the total iron storage capacity of the body. It also helps to diagnose iron deficiency or iron overload. The Ferritin Test is done: • In case of low hemoglobin and hematocrit • To detect iron deficiency • To detect iron overload
Read More","Test(s) Included (1)
FERRITIN
1 Test Included"
115,thyroid profile free ft3 ft4 tsh ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The lower-front spot in your neck houses the tiny thyroid gland. It’s accountable for the regulation of several bodily processes like your energy generation, metabolism and mood. The gland produces two primary hormones: T3 (Triiodothyronine) and T4 (Thyroxine).
In some instances, the gland may not produce enough hormones, resulting in energy depletion, weight gain and depression. This is termed hypothyroidism. It can occur due to the following factors:
Thyroid gland removal
Read More","Test(s) Included (4)
Thyroid Profile - Free (FT3, FT4, TSH)
4 Tests Included"
116,beta hcg total ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Human Chorionic Gonadotropin (HCG) is a hormone that the placenta produces during pregnancy. The body produces this hormone ten days post conception. Gradually, these levels keep on rising every two to three days. Hence, HCG in the blood is an indicator that you are pregnant. It can be detected in blood within 11 to12 days of conception.
The peak HCG levels in your blood occur around the tenth week after conception. Hence, a medical test to determine these levels and other aspects of pregnancy becomes crucial. A pregnancy test ascertains one or more of the following factors:

Read More","Test(s) Included (1)
Total Beta - HCG (TB-HCG)
1 Test Included"
117,prolactin ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Prolactin test helps to investigate galactorrhea (unexplained flow of breast milk), abnormal discharge from nipples, irregular or absence of menstrual periods, and/or infertility in women. In men, this test helps to diagnose the cause of erectile dysfunction, decreased libido. This test also detects prolactinoma (a pituitary tumor that produces prolactin) and is also used to monitor the ongoing treatment of prolactinoma. The Prolactin test is done: • In case of signs and symptoms of increased levels of prolactin • In case of infertility problems • In case of follow-up for treatment of macroprolactin • In case of low levels of testosterone in men • To detect and monitor prolactinoma
Read More","Test(s) Included (1)
PROLACTIN
1 Test Included"
118,allergy screen total ige and phadiatop ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The allergy screen helps to screen the allergic disease. It is sometimes used to screen parasitic infections as well. The allergy screen includes Total IgE and Phadiatop test. This screening is suggested when one has symptoms such as itching, nausea, vomiting, diarrhea, itchy eyes, sneezing, eczema, coughing, etc. The allergy screen is done: • In case of allergies • In cases of signs and symptoms that suggest allergies • In case of a parasitic infection
Read More","Test(s) Included (2)
Allergy Screen (Includes Total IGE And Phadiatop)
2 Tests Included"
119,iron serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Iron – Serum Test
Test Overview
Sample Type Blood
Reports Delivery 10 Hrs
Price/Cost ₹510
Number of Tests Included   1
What is an Iron – Serum Test?
An iron – serum test, commonly known as the 'iron blood test' or 'iron profile test', is a crucial medical examination that helps doctors determine the amount of iron present in your bloodstream. The test primarily involves collecting a small sample of your blood. This collected sample is then meticulously analysed in a laboratory to ascertain the iron levels.




Read More","Test(s) Included (1)
IRON - SERUM
1 Test Included"
120,iron studies iron tibc ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Iron Studies (Iron + Tibc)
Test Overview
Sample Type Blood
Reports Delivery 24 Hrs
Price/Cost ₹940
Number of Tests Included 4
What is an Iron Studies (Iron + Tibc) Test?
An iron studies test, sometimes referred to as an iron profile test, is a diagnostic examination commonly conducted to evaluate the levels of iron and related parameters in the bloodstream. This comprehensive assessment provides crucial insights into an individual's iron metabolism, aiding in the diagnosis and management of various health conditions.








Read More","Test(s) Included (4)
IRON STUDIES (IRON + TIBC)
4 Tests Included"
121,fsh lh prolactin ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Follicle-stimulating hormone (FSH) test helps to determine the fertility issues, helps to test the health of ovaries or testicles, and helps in checking the functioning of the pituitary gland. Luteinizing hormone is also known as Interstitial Cell Stimulating Hormone. Luteinizing hormone test helps to evaluate fertility issues. It helps in evaluating the health of reproductive organs (testicles or ovaries). In women, this test helps to determine ovulation time. This test also helps to evaluate the function of the pituitary gland. The Prolactin test helps to investigate galactorrhea (unexplained flow of breast milk), abnormal discharge from nipples, irregular or absence of menstrual periods, and/or infertility in women. In men, this test helps to diagnose the cause of erectile dysfunction, decreased libido. This test also detects prolactinoma (a pituitary tumor that produces prolactin) and is also used to monitor the ongoing treatment of prolactinoma. The follicle-stimulating hormone (FSH) test is done: • In case of infertility issues in men and women • In case of irregular or absence of menstrual periods in women • In case of low sperm count, low muscle mass or decreased sex drive in men • In case of symptoms of pituitary, or hypothalamic disorder The Luteinizing Hormone (LH) test is done: • In case a woman is unable to get pregnant • In case of irregular or heavy menstrual periods in a woman • To track ovulation during the menstrual cycle • In case of males who have low sperm count, low muscle mass, or decreased sex drive • In case of symptoms of pituitary or hypothalamic disorder • In case of early or delayed puberty in children The Prolactin test is done: • In case of signs and symptoms of increased levels of prolactin • In case of infertility problems • In case of follow-up for treatment of macroprolactin • In case of low levels of testosterone in men • To detect and monitor prolactinoma
Read More","Test(s) Included (3)
FSH,LH & Prolactin, Serum
3 Tests Included"
122,fsh lh ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Follicle-stimulating hormone (FSH) test helps to determine the fertility issues, helps to test the health of ovaries or testicles, and helps in checking the functioning of the pituitary gland. Luteinizing hormone is also known as Interstitial Cell Stimulating Hormone. Luteinizing hormone test helps to evaluate fertility issues. It helps in evaluating the health of reproductive organs (testicles or ovaries). In women, this test helps to determine ovulation time. This test also helps to evaluate the function of the pituitary gland. The follicle-stimulating hormone (FSH) test is done: • In case of infertility issues in men and women • In case of irregular or absence of menstrual periods in women • In case of low sperm count, low muscle mass or decreased sex drive in men • In case of symptoms of pituitary, or hypothalamic disorder The Luteinizing Hormone (LH) test is done: • In case a woman is unable to get pregnant • In case of irregular or heavy menstrual periods in a woman • To track ovulation during the menstrual cycle • In case of males who have low sperm count, low muscle mass, or decreased sex drive • In case of symptoms of pituitary or hypothalamic disorder • In case of early or delayed puberty in children
Read More","Test(s) Included (2)
FSH & LH, Serum
2 Tests Included"
123,lh luteinizing hormone ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Luteinizing hormone is also known as Interstitial Cell Stimulating Hormone. This test helps to evaluate fertility issues. It helps in evaluating the health of reproductive organs (testicles or ovaries). In women, this test helps to determine ovulation time. This test also helps to evaluate the function of the pituitary gland. The Luteinizing Hormone (LH) test is done: • In case a woman is unable to get pregnant • In case of irregular or heavy menstrual periods in a woman • To track ovulation during the menstrual cycle • In case of males who have low sperm count, low muscle mass, or decreased sex drive • In case of symptoms of pituitary or hypothalamic disorder • In case of early or delayed puberty in children
Read More","Test(s) Included (1)
Luteinizing Hormone (LH)
1 Test Included"
124,estradiol e2 ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Estradiol (E2) Test
Test Overview
Sample Type Blood
Reports Delivery 48 Hrs
Price/Cost ₹790
Number of Tests Included 1
What is an Estradiol (E2) Test?
An estradiol test, also commonly referred to as an oestrogen test, is a diagnostic tool that helps measure the quantity of estradiol - a significant form of the female hormone, oestrogen - present in your blood. This estradiol serum test is primarily employed by doctors to assess various aspects of a person's reproductive health, screen for potential hormonal imbalances, and monitor ongoing fertility treatments. It is especially instrumental in evaluating medical conditions like menstrual irregularities, fertility issues and menopausal symptoms.
Read More","Test(s) Included (1)
ESTRADIOL (E2)
1 Test Included"
125,testosterone free ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This test calculates the amount of unattached, or free, testosterone there is in the blood. Testosterone is made in the testes (in men) and the ovaries (in women) and a small amount by the adrenal glands. Testosterone in men help’s bringing the changes after puberty like hair and muscle growth, penis and testes growth, deepening of voice, it boosts sex drive and helps make sperm. In women it helps in many organ and body processes. This test is used to detect the abnormal levels of testosterone. It is used to diagnose infertility, testicular tumours, ambiguous genitalia, erectile dysfunction, pituitary tumours in men, lack of menstruation, obesity, extra hair growth (especially on the face), appearance of masculine features in females and is an indicator for polycystic ovary syndrome (PCOS).
Read More","Test(s) Included (1)
Testosterone - Free
1 Test Included"
126,testosterone total ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Testosterone, Total test helps to detect levels of testosterone in the blood. It helps to diagnose erectile dysfunction and infertility in males. In females, this test helps to diagnose the cause of virilization (masculine physical features), hirsutism (excess of body hair), infertility, and polycystic ovary syndrome. 
The top Testosterone, Total tests are available in Anna Nagar, Alwarpet, T. Nagar, Adyar, Velachery.
This test helps to determine the cause of early or delayed puberty or the cause of genitalia that are not clear if they are male or female in children.
Read More","Test(s) Included (1)
Testosterone, Total
1 Test Included"
127,pre eclampsia screening first trimester ,"About
Sample
BLOOD
Gender
Female
Age group
7 years & above
The first trimester of pregnancy is very crucial to the baby’s development and requires regular check-ups. One such test includes pre-eclampsia screening in the first trimester of pregnancy.
Pre-eclampsia is a pregnancy-induced high blood pressure condition. Its screening helps identify and diagnose the condition early in its course. This condition develops after the 20th week of pregnancy and can harm the foetus. Pre-eclampsia in pregnancy also causes harm to organs of the body and can be risky if there is already a complication.


Read More","Test(s) Included (1)
Pre-Eclampsia Screening, First Trimester
1 Test Included"
128,dehydroepiandrosterone dhea ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Dehydroepiandrosterone (DHEA) test is a laboratory test offered by Apollo 24|7 to assess the levels of Dehydroepiandrosterone (DHEA) in the blood. DHEA is a hormone produced by the adrenal glands. It plays a significant role in regulating various bodily functions. The test helps in diagnosing and monitoring certain conditions related to hormone imbalances. It provides valuable insights into the overall health status and helps in identifying potential risks.

The following conditions or diseases can be detected through the Dehydroepiandrosterone test:

1. The Dehydroepiandrosterone (DHEA) test is primarily conducted to evaluate hormonal imbalances and identify underlying conditions.

2. : Low levels of DHEA may indicate adrenal gland dysfunction, which can lead to symptoms like fatigue, weight loss, and muscle weakness.

3. : Elevated DHEA levels may be associated with PCOS, a hormonal disorder that affects women's reproductive health and can cause irregular periods, acne, and excessive hair growth.

4. : DHEA levels decline with age, and monitoring them can provide insights into age-related health concerns and potential interventions.


















Read More","Test(s) Included (1)
DEHYDROEPIANDROSTERONE (DHEA)
1 Test Included"
129,free t4 ft4 ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The free T4 test is also known as the free thyroxine test. It helps to evaluate the function of the thyroid gland, diagnose diseases of the thyroid, and monitor the effectiveness of ongoing thyroid treatment. It can also be used to diagnose congenital hypothyroidism in newborns sometimes. The Free T4 test is done: • In case of signs and symptoms of thyroid disease • In case of enlarged thyroid • In case of thyroid nodule • After an abnormal result on a TSH test • For ongoing thyroid disorder treatment
Read More","Test(s) Included (1)
FREE T4 (FT4)
1 Test Included"
130,apollo health check basic ,"About
Sample
URINE, BLOOD
Gender
Both
Age group
7 years & above
Apollo Health Check - Basic is a comprehensive health check-up that includes multiple tests to evaluate the overall health of an individual.
Read More","Test(s) Included (83)
Renal Profile/Renal Function Test (RFT/KFT)
14 Tests Included
GLUCOSE, FASTING
1 Test Included
Complete Urine Examination
17 Tests Included
COMPLETE BLOOD COUNT (CBC)
29 Tests Included
Thyroid Profile (Total T3, Total T4, TSH)
4 Tests Included
LIPID PROFILE
8 Tests Included
LIVER FUNCTION TEST (LFT)
10 Tests Included"
131,apollo full body checkup female advance ,"About
Sample
BLOOD, URINE
Gender
Female
Age group
7 years & above
Curated by Dr Ashish Chauhan, the Apollo Fully Body Checkup - Advance comprises tests like CBC, ESR, LFT, KFT, CRP, complete urine examination, thyroid profile, iron, uric acid, vitamins B12 and D3, serum creatinine and electrolytes, cholesterol, calcium and fasting blood sugar to screen organs like heart, liver, thyroid, bones and kidneys for various health conditions and diseases. This checkup should be done annually by every individual above the age of 20 years, as it is a preventive diagnostic evaluation. It should also be done by people suffering from any organ disorder. You must undergo periodic routine tests to prevent health complications and significant illness. Opting for a full body health checkup can help you assess your body vitals without any hassle. A complete body checkup offers the following major benefits: It helps you determine the overall level of fitness A full body test helps doctors detect life-threatening diseases like cancers It is a preventive and comprehensive health checkup that can help you make lifestyle alterations Such a diagnostics test can help you manage genetic diseases in a better way Overall, a complete body checkup can help you avoid diseases and save money in the long run. For instance, with such a comprehensive evaluation, you can prevent the requirement of surgeries or prolonged treatments that can prove quite expensive. Usually, a full body health checkup consists of a blood test that evaluates several health parameters. In addition, you also have to provide your urine sample to allow the pathology experts to determine urinary tract infections (UTIs), diabetes, or kidney diseases. A full body test includes the following types of sub-evaluations: Glucose Testing: These tests include HbA1c, and glucose fasting for blood sugar level determination. Notably, this analysis helps assess diabetes. Blood Study: There are twenty-eight tests under this category aim to evaluate anaemia and Hb levels, provide important information about a person's overall health, and help diagnose a wide range of medical conditions. Cancer Screening: This has essential tools for detecting cancer in its early stages when treatment is often more effective, and the chances of survival are higher. Renal Function Test: It is a group test that checks levels of creatinine, uric acid, blood urea, chloride, potassium and sodium to assess if the kidneys are functioning properly. It checks for kidney problems such as infections, kidney stones, and chronic kidney diseases. Vitamin Test: Vitamin tests, which measure the levels of various vitamins like B12 and D in the body, are used to diagnose vitamin deficiencies or excesses, which can cause a range of health problems and affect overall well-being Infection Test: This blood test category consists of 2 evaluations that measure aspects like erythrocyte sedimentation rate and C-reactive protein levels. Thyroid Profile: It includes four tests that measure the levels of thyroid hormones in the blood and is used to diagnose thyroid disorders such as hypothyroidism and hyperthyroidism and to monitor the effectiveness of treatment Liver Function Test: It is a group test that checks levels of bilirubin, ALT/SGPT, AST/SGOT, alkaline phosphatase and albumin to assess if the liver is functioning properly. Apollo 24|7 offers an all-inclusive complete body checkup comprising all the above test categories. In addition, our full body checkup package includes an iron studies module and routine evaluations like CBC and lipid profile. Physicians recommend a full body test from a reliable pathology lab brand. Notably, you can receive our full body health checkup reports within six days in most cases. So, ensure you consult your family physician and benefit from a comprehensive health checkup at Apollo 24|7.  
Read More","Test(s) Included (95)
Blood Studies (Anemia) (29)
Thyroid (4)
Liver (10)
Kidney (31)
Heart (Cardiac) (8)
Vitamin (2)
Diabetes (3)
Others (1)
Bone (1)
Iron Studies (1)
Infection (2)
Hepatitis Screening (2)
Cancer Screening (1)"
